titel,name,email,zugang,quelle,status,link
"Berufsanschlussfähige Teilqualifizierung (MyTQ) - Fachinformatiker*in für Anwendungsentwicklung - TQ3 IT-Sicherheit anwenden, Serverdienste installieren und warten",Internationaler Bund IB Mitte gGmbH für Bildung und soziale Dienste,,"<p>Bildungsgutschein (FbW), gegebenenfalls sind weitere Förderungen möglich, wir beraten Sie gerne. </p><p>Zur Teilnahme sind Sprachkenntnisse auf Niveau B2 notwendig.</p>",bildungsanbieter,not sent,https://ib-mitte.de/fachinformatiker-anwendungsentwicklung-mytq
Berufsschule für Pflegeassistenten und Pflegeassistentinnen,"Berufliche Schule des Kreises Pinneberg in Elmshorn, Europaschule",info@bs-elmshorn.de,"<p>Erster Allgemeinbildender Schulabschluss, Bereitschaft zur aktiven Teilnahme an den festlegten Praxiswochen.</p><p>Spätestens zum Beginn der Ausbildung sind ein erweitertes polizeiliches Führungszeugnis sowie eine Impfbescheinigung (Masern) vorzulegen.</p>",bildungsanbieter,not sent,https://www.bs-elmshorn.de/pflegeassistenz.html
Erwerb von Grundkompetenzen: Vermittlung berufsübergreifender Grundkompetenzen,Akademie Überlingen,kursnet-management@a-ue.de,<p>vorab Beratungs- und Eignungsgespräch</p>,bildungsanbieter,not sent,https://www.akademie-ueberlingen.de/kurs-basisdaten/erwerb-von-grundkompetenzen/
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV-Grundlagen und Textverarbeitung",GfM GmbH & Co. KG,berlin@gfm-gruppe.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B.2.</p>,bildungsanbieter,not sent,https://gfm-weiterbildung.de/info-zu-weiterbildungen-und-coachings/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-K-4046-1#/kurs-fuer-arbeitssuchende/ZU-K-4046-1
Erwerb von Grundkompetenzen - Grundwissen Mathematik (Grundrechenarten & Zins- und Prozentrechnung),TEMP.Akademie GmbH,info@tempakademie.de,<p>An der Maßnahme können Teilnehmer mit unterschiedlichen Zugangsvoraussetzungen teilnehmen. Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für die Teilnahme an der Maßnahme nicht erforderlich. <br/>Ausnahmeregelungen erfolgen in Abstimmung mit dem JC/der Arbeitsagentur oder der optierenden Kommune. Grundlegende Deutschsprachkenntnisse (Niveau A2 GER) werden vorausgesetzt.</p>,bildungsanbieter,not sent,https://www.tempakademie.de/viona?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=S-2368-C-6
Erwerb von Grundkompetenzen - IT-Kompetenz (PC - Computer Grundlagen und Microsoft Word - Textverarbeitung),IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,"<p>Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für eine Teilnahme nicht erforderlich. Um unser Angebot individuell auf Ihre Bedürfnisse zuschneiden zu können, führen wir mit Ihnen vorab ein persönliches Beratungsgespräch. Ausnahmeregelungen erfolgen in Abstimmung mit dem Jobcenter bzw. der Arbeitsagentur oder der optierenden Kommune.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/S-2368-K-6?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=S-2368-K-6
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt Textverarbeitung und Einführung in die Buchführung",Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,viona@lernstudio-barbarossa.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p>,bildungsanbieter,not sent,https://www.lernstudio-barbarossa.de/weiterbildung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-K-4042-1
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV",Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,viona@lernstudio-barbarossa.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p>,bildungsanbieter,not sent,https://www.lernstudio-barbarossa.de/weiterbildung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-K-4043-1
"Betreuungskraft nach §§ 43b, 53b SGB XI mit Zusatzqualifikation Demenz verstehen",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,"<p>Teilnehmende sollten soziale Kompetenz, Empathie-Fähigkeit, hohe Belastbarkeit sowie Wahrnehmungsfähigkeit und Beobachtungsgabe aufweisen. Sie müssen sich in einem mindestens fünftägigen Praktikum VOR Beginn des Kurses erproben. Hierbei finden Sie heraus, ob Ihnen die Arbeit mit demenzerkrankten, körperlich beeinträchtigten oder geistig behinderten Menschen Freude bereitet. Computer-Kenntnisse sind unbedingt sicherzustellen. Die Deutschkenntnisse sollten sich auf muttersprachlichem Niveau bewegen (mind. Niveau B2 - ggf. Einstufungstest).</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/Z-P-7120?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=Z-P-7120
Erwerb von Grundkompetenzen - Grundwissen Mathematik (Anwendung von Zahlen & Zins- und Prozentrechnung),Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,viona@lernstudio-barbarossa.de,<p>An der Maßnahme können Teilnehmer mit unterschiedlichen Zugangsvoraussetzungen teilnehmen. Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für die Teilnahme an der Maßnahme nicht erforderlich. <br/>Ausnahmeregelungen erfolgen in Abstimmung mit dem JC/der Arbeitsagentur oder der optierenden Kommune. Grundlegende Deutschsprachkenntnisse (Niveau A2 GER) werden vorausgesetzt.</p>,bildungsanbieter,not sent,https://www.lernstudio-barbarossa.de/weiterbildung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=S-2368-D-6
